,date,type,operator,fatalities,location,country,cat,year,decade
0,2019-08-02,caproni ca.48,caproni,14,Verona,Italy,A1,2019,2010
1,2019-08-11,felixstowe fury,raf,1,near Felixtowe RNAS,U.K.,A1,2019,2010
2,2020-02-23,handley page o/7,handley page transport,0,"Acadia Siding, C...",South Africa,A1,2020,2020
3,2020-02-25,handley page o/400,handley page transport,0,near El Shereik,Sudan,A1,2020,2020
4,2020-06-30,handley page o/400,handley page transport,0,ÃstanÃ¥,Sweden,A1,2020,2020
5,2020-12-14,handley page o/400,handley page transport,4,Golders Green,U.K.,A1,2020,2020
6,2021-01-15,aeromarine 75,aeromarine airways,0,Havana harbour,Cuba,O1,2021,2020
7,2021-03-02,handley page o/7,hp indo-burmese transport,0,Meerut,India,O1,2021,2020
8,2021-03-04,caproni ca.60 noviplano,caproni,0,Lago Maggiore,Italy,A1,2021,2020
9,2021-08-26,farman f.60 goliath,sneta,2,near Calais [The Engl...,France,A1,2021,2020
10,2021-09-27,farman f.60 goliath,sneta,0,Evere Airfield,Belgium,O1,2021,2020
11,2021-09-27,farman f.60 goliath,sneta,0,Evere Airfield,Belgium,O1,2021,2020
12,2021-12-30,handley page o/10,handley page transport,0,Berck-sur-Mer,France,U1,2021,2020
13,2022-01-22,handley page o/10,handley page transport,0,near Senlis,France,A1,2022,2020
14,2022-03-31,handley page o/7,chinese government,14,near Beijing-Nanyuan ...,China,A1,2022,2020
15,2022-04-07,farman f.60 goliath,grands express aã©riens,5,Thieuloy-Saint-A...,France,A1,2022,2020
16,2023-01-13,aeromarine 75,aeromarine airways,4,"near Havana, Cuba",Atlantic Ocean,A1,2023,2020
17,2023-05-14,farman f.60 goliath,air union,6,"Monsures, Somme",France,A1,2023,2020
18,2023-06-25,farman f.60 goliath,air union,0,near Ãtaples,France,A1,2023,2020
19,2023-07-10,handley page w.8,handley page transport,0,Poix,France,A1,2023,2020
20,2023-07-15,farman f.60 goliath,compagnie aã©rienne franã§aise,0,near Valenciennes,France,A1,2023,2020
21,2023-08-27,farman f.60 goliath,air union,1,"East Malling, Kent",U.K.,A1,2023,2020
22,2023-12-03,farman f.60 goliath,air union,0,"Littlestone, Kent",U.K.,A1,2023,2020
23,1975-01-01,douglas c-47a (dc-3),air o'hare,0,"near Fort Lauderdale, FL",USA,A1,1975,1970
24,1975-01-02,douglas c-54p (dc-4),transvall corp.,0,Tucson-Davis Mon...,USA,A1,1975,1970
25,1975-01-02,lockheed c-130b hercules,usaf,2,New Orleans NAS/...,USA,A1,1975,1970
26,1975-01-03,boeing 727,national airlines,0,Pensacola Region...,USA,H2,1975,1970
27,1975-01-03,fairchild c-123k provider,air america,9,near Nha Trang,Vietnam,C1,1975,1970
28,1975-01-05,dhc-6 twin otter 200,argentine army,13,"near La Angostura, TU",Argentina,A1,1975,1970
29,1975-01-07,convair cv-440-59,frigorificos movima,0,near San Borja,Bolivia,A1,1975,1970
30,1975-01-07,bac one-eleven 510ed,british airways,0,London-Stansted ...,U.K.,H2,1975,1970
31,1975-01-08,douglas c-47 (dc-3),satena,23,near El Doncello,Colombia,A1,1975,1970
32,1975-01-09,convair t-29d (cv-240),usaf,7,"near Newport News, VA",USA,A1,1975,1970
33,1975-01-09,dhc-6 twin otter 100,golden west airlines,12,"Whittier, CA",USA,A1,1975,1970
34,1975-01-09,fokker f-27 friendship 600,air zaire,0,Boende Airport (...,D.R. Congo,A1,1975,1970
35,1975-01-09,douglas vc-47a (dc-3),usaf,0,Akrotiri RAF Sta...,Cyprus,U1,1975,1970
36,1975-01-13,boeing 727,eastern air lines,0,"Washington, DC",USA,H2,1975,1970
37,1975-01-15,douglas c-47 (dc-3),"nordair, lsf air brazeau",0,La Grande Airpor...,Canada,A1,1975,1970
38,1975-01-15,ilyushin il-18v,malev,9,near Budapest-Feriheg...,Hungary,A1,1975,1970
39,1975-01-16,antonov an-2p,"aeroflot, ukraine",12,near Sam Neua Airport...,Laos,A1,1975,1970
40,1975-01-16,dornier do 28d-1 skyservant,ethiopian ministry of public health,0,Dolo,Ethiopia,A1,1975,1970
41,1975-01-17,carstedt jet liner 600f,falcon airways,0,"near Addison Airport,...",USA,A1,1975,1970
42,1975-01-19,douglas c-47b (dc-3),khmer hansa airlines,0,Phnom Penh-Poche...,Cambodia,O1,1975,1970
43,1975-01-19,douglas dc-3a-343b,khmer hansa airlines,0,Phnom Penh-Poche...,Cambodia,O1,1975,1970
44,1975-01-19,douglas dc-3c,south east asia air transport,0,Phnom Penh-Poche...,Cambodia,O1,1975,1970
45,1975-01-22,boeing 737-200,vasp,0,unknown,Unknown country,H2,1975,1970
46,1975-01-25,fokker f-27 friendship 600,maersk air,0,Faroe Islands-Va...,Denmark,A1,1975,1970
47,1975-01-28,yakovlev yak-40,"aeroflot, ukraine",0,Zaporozhye Airpo...,Ukraine,A1,1975,1970
